receipt_id,bonusPointsEarned,bonusPointsEarnedReason,createDate,dateScanned,finishedDate,modifyDate,pointsAwardedDate,pointsEarned,purchaseDate,purchasedItemCount,rewardsReceiptStatus,totalSpent,userId
601c265a0a720f05f400029d,,,2021-02-04,2021-02-04,,2021-02-04,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
601bdc850a720f05f4000276,,,2021-02-04,2021-02-04,,2021-02-04,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
601c5fc90a7214ad280002be,,,2021-02-04,2021-02-04,,2021-02-04,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
601c68c70a7214ad280002d2,5.0,All-receipts receipt bonus,2021-02-04,2021-02-04,,2021-02-04,2021-02-04,5.0,2021-02-03,1.0,FLAGGED,1.0,601c6887969c0b11f7d0c81f
601c80940a720f05f40002d9,,,2021-02-04,2021-02-04,,2021-02-04,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
601b43010a7214ad2800022c,,,2021-02-04,2021-02-04,,2021-02-04,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
601bd1fa0a7214ad2800026c,,,2021-02-04,2021-02-04,,2021-02-04,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
601d7c000a7214ad590002a1,,,2021-02-05,2021-02-05,2021-02-05,2021-02-05,,,2021-02-05,,PENDING,28.57,59c124bae4b0299e55b0f330
601d7c180a720f05540002fd,,,2021-02-05,2021-02-05,2021-02-05,2021-02-05,,,2021-02-05,,PENDING,28.57,59c124bae4b0299e55b0f330
601d77170a720f053c00000a,,,2021-02-05,2021-02-05,2021-02-05,2021-02-05,,,2021-02-05,,PENDING,28.57,59c124bae4b0299e55b0f330
601d7b8e0a720f0554000079,,,2021-02-05,2021-02-05,2021-02-05,2021-02-05,,,2021-02-05,,PENDING,28.57,59c124bae4b0299e55b0f330
601d7d580a7214ad59000928,,,2021-02-05,2021-02-05,2021-02-05,2021-02-05,,,2021-02-05,,PENDING,28.57,59c124bae4b0299e55b0f330
601d7cf90a720f055400070e,,,2021-02-05,2021-02-05,2021-02-05,2021-02-05,,,2021-02-05,,PENDING,28.57,59c124bae4b0299e55b0f330
